SECTOR|CIE10|NUMERODECASOS
NOT_FOUND|J960 | 8
GARCIA MORENO|P920 | 1
NOT_FOUND|J969 | 12
XIMENA|J030 | 14
FEBRES CORDERO|S626 | 1
SAMBORONDON|H920 | 2
ROSALES|J46 | 1
XIMENA|J039 | 16
XIMENA|K522 | 1
ROCAFUERTE|A09 | 4
XIMENA|I84 | 1
XIMENA|M62 | 1
NOT_FOUND|G40 | 1
CHONGON|T741 | 1
PROSPERINA|J969 | 2
FLOR DE BASTION|J060 | 1
XIMENA|I209 | 1
LAS PEÑAS|S01 | 1
FEBRES CORDERO|S005  | 1
SUCRE|R041 | 1
SUCRE|L500 | 1
XIMENA|S420 | 4
XIMENA|S934 | 6
XIMENA|S424 | 1
GARCIA MORENO|S90 | 1
NOT_FOUND|M255 | 1
NOT_FOUND|I209 | 1
XIMENA|S398 | 1
OTRO|E86 | 1
NOT_FOUND|T302 | 1
ALBORADA|N390 | 4
XIMENA|S41 | 1
XIMENA|S40 | 2
XIMENA|S49 | 1
FEBRES CORDERO|J340 | 2
LETAMENDI|E86 | 88
NOT_FOUND|T09 | 1
OLMEDO|E86 | 4
JARDINES DEL SALADO|J02 | 3
JARDINES DEL SALADO|J03 | 3
XIMENA|R060 | 1
PROSPERINA|J45 | 1
XIMENA|L506 | 2
ALBORADA|S934 | 1
DURAN|S80 | 1
XIMENA|L500 | 19
NOT_FOUND|L259 | 1
XIMENA|L509 | 7
NOT_FOUND|A059 | 5
GARCIA MORENO|R42 | 1
LETAMENDI|L500 | 1
URDANETA|J45 | 6
NOT_FOUND|H620 | 1
LETAMENDI|L508 | 1
FEBRES CORDERO|G24 | 2
URDESA|R51 | 2
URDESA|R50 | 1
SAUCES|S011 | 1
FLOR DE BASTION|J03 | 4
FLOR DE BASTION|J02 | 1
FLOR DE BASTION|J00 | 3
GARCIA MORENO|S015 | 1
TARQUI|J45 | 4
TARQUI|J46 | 1
SAN FELIPE|E86 | 1
SAN EDUARDO|K12 | 1
NOT_FOUND|W84 | 1
